T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
419,Latin America & the Caribbean,2020,Supply per capita (gigajoules),50,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2021,Supply per capita (gigajoules),53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,1995,Primary energy production (petajoules),"133,074",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2000,Primary energy production (petajoules),"149,308",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2005,Primary energy production (petajoules),"191,193",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2010,Primary energy production (petajoules),"235,303",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2015,Primary energy production (petajoules),"259,494",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2019,Primary energy production (petajoules),"280,782",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2020,Primary energy production (petajoules),"275,223",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2021,Primary energy production (petajoules),"287,716",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,654",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,408",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,203",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),300,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"8,031",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"20,873",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"25,206",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"26,263",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,1995,Changes in stocks (petajoules),680,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
142,Asia,2000,Changes in stocks (petajoules),-713,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
