T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2010,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2020,GDP real rates of growth (percent),-3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2021,GDP real rates of growth (percent),7.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2022,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"397,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"794,578",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,386,785",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,637,080",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),"1,685,236",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2021,GDP in current prices (millions of US dollars),"1,882,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2022,GDP in current prices (millions of US dollars),"2,015,177",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),708,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,088",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,637",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,685",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,521",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2021,GDP per capita (US dollars),"1,656",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2022,GDP per capita (US dollars),"1,729",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),"629,707",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),"976,386",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,295,740",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),"1,637,080",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),"1,766,545",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2021,GDP in constant 2015 prices (millions of US dollars),"1,845,341",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2022,GDP in constant 2015 prices (millions of US dollars),"1,915,966",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
