T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,2021,Emissions (thousand metric tons of carbon dioxide),"145,975",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1975,Emissions per capita (Kilograms of carbon dioxide),1.0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1985,Emissions per capita (Kilograms of carbon dioxide),2.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2005,Emissions per capita (Kilograms of carbon dioxide),2.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2010,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2015,Emissions per capita (Kilograms of carbon dioxide),3.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2019,Emissions per capita (Kilograms of carbon dioxide),3.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2020,Emissions per capita (Kilograms of carbon dioxide),3.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2021,Emissions per capita (Kilograms of carbon dioxide),3.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2005,Emissions (thousand metric tons of carbon dioxide),498,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2010,Emissions (thousand metric tons of carbon dioxide),501,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2015,Emissions (thousand metric tons of carbon dioxide),412,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2019,Emissions (thousand metric tons of carbon dioxide),407,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2020,Emissions (thousand metric tons of carbon dioxide),392,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2021,Emissions (thousand metric tons of carbon dioxide),392,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2005,Emissions per capita (Kilograms of carbon dioxide),8.7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2010,Emissions per capita (Kilograms of carbon dioxide),9.1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2015,Emissions per capita (Kilograms of carbon dioxide),8.0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2019,Emissions per capita (Kilograms of carbon dioxide),8.6,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2020,Emissions per capita (Kilograms of carbon dioxide),8.5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
16,American Samoa,2021,Emissions per capita (Kilograms of carbon dioxide),8.7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2005,Emissions (thousand metric tons of carbon dioxide),596,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2010,Emissions (thousand metric tons of carbon dioxide),534,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2015,Emissions (thousand metric tons of carbon dioxide),481,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2019,Emissions (thousand metric tons of carbon dioxide),505,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2020,Emissions (thousand metric tons of carbon dioxide),389,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2021,Emissions (thousand metric tons of carbon dioxide),425,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2005,Emissions per capita (Kilograms of carbon dioxide),7.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2010,Emissions per capita (Kilograms of carbon dioxide),7.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2015,Emissions per capita (Kilograms of carbon dioxide),6.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2019,Emissions per capita (Kilograms of carbon dioxide),6.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2020,Emissions per capita (Kilograms of carbon dioxide),5.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
20,Andorra,2021,Emissions per capita (Kilograms of carbon dioxide),5.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),"2,336",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),"2,169",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),"6,017",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),"14,935",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),"17,862",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2019,Emissions (thousand metric tons of carbon dioxide),"16,521",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2020,Emissions (thousand metric tons of carbon dioxide),"11,789",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,2021,Emissions (thousand metric tons of carbon dioxide),"14,522",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
24,Angola,1975,Emissions per capita (Kilograms of carbon dioxide),0.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
