"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Port St. Lucie, FL","38940",2012,366,225,140,1,0,0,0,122,61,46,0,0,120,246,0
"Portland-South Portland, ME","38860",2012,366,273,88,5,0,0,0,140,61,41,1,21,207,135,2
"Portland-Vancouver-Hillsboro, OR-WA","38900",2012,366,221,142,3,0,0,0,117,71,44,0,0,147,219,0
"Portsmouth, OH","39020",2012,366,300,66,0,0,0,0,73,56,20,0,0,0,114,252
"Prescott, AZ","39140",2012,283,205,69,9,0,0,0,112,74,45,0,0,238,45,0
"Price, UT","39220",2012,365,231,126,8,0,0,0,119,84,45,0,8,357,0,0
"Prineville, OR","39260",2012,360,239,119,2,0,0,0,105,66,33,0,0,0,360,0
"Providence-Warwick, RI-MA","39300",2012,366,174,174,15,3,0,0,179,74,52,0,0,149,217,0
"Provo-Orem, UT","39340",2012,366,142,212,11,1,0,0,156,87,54,0,39,194,129,4
"Pueblo, CO","39380",2012,133,116,17,0,0,0,0,82,52,31,0,0,0,102,31
"Pullman, WA","39420",2012,366,308,54,2,2,0,0,157,56,25,0,0,0,366,0
"Quincy, IL-MO","39500",2012,364,322,37,4,1,0,0,151,54,35,0,0,364,0,0
"Racine, WI","39540",2012,187,126,34,22,5,0,0,177,122,42,0,0,187,0,0
"Raleigh, NC","39580",2012,366,166,191,8,1,0,0,177,71,52,0,0,128,238,0
"Rapid City, SD","39660",2012,366,203,160,3,0,0,0,112,71,48,0,1,229,86,50
